GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-security-login-and-registration,com.baeldung,Application,5,7,0,0,2,2,1,2,1,2
spring-security-login-and-registration,com.baeldung.captcha,AbstractCaptchaService,81,0,14,0,16,0,14,0,7,0
spring-security-login-and-registration,com.baeldung.captcha,GoogleResponse,47,45,6,0,9,19,5,13,2,13
spring-security-login-and-registration,com.baeldung.captcha,ICaptchaService,2,0,0,0,2,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.captcha,ReCaptchaAttemptService,49,0,2,0,13,0,5,0,4,0
spring-security-login-and-registration,com.baeldung.captcha,GoogleResponse.ErrorCode,6,74,0,0,1,10,1,1,1,1
spring-security-login-and-registration,com.baeldung.captcha,CaptchaService,72,0,4,0,16,0,5,0,3,0
spring-security-login-and-registration,com.baeldung.captcha,CaptchaServiceV3,84,0,8,0,17,0,7,0,3,0
spring-security-login-and-registration,com.baeldung.captcha,CaptchaSettings,0,38,0,0,0,17,0,11,0,11
spring-security-login-and-registration,com.baeldung.captcha,ReCaptchaAttemptService.new CacheLoader() {...},9,0,0,0,2,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.service,UserService,474,0,28,0,114,0,42,0,28,0
spring-security-login-and-registration,com.baeldung.service,DeviceService,256,0,18,0,62,0,18,0,9,0
spring-security-login-and-registration,com.baeldung.web.controller,OldRegistrationController,534,0,12,0,111,0,16,0,10,0
spring-security-login-and-registration,com.baeldung.web.controller,RegistrationCaptchaController,70,0,0,0,15,0,5,0,5,0
spring-security-login-and-registration,com.baeldung.web.controller,UserController,21,0,0,0,5,0,3,0,3,0
spring-security-login-and-registration,com.baeldung.web.controller,RoleHierarchyController,27,0,0,0,7,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.web.controller,RegistrationRestController,315,0,16,0,54,0,20,0,12,0
spring-security-login-and-registration,com.baeldung.web.controller,RegistrationController,360,0,12,0,73,0,25,0,19,0
spring-security-login-and-registration,com.baeldung.validation,EmailValidator,18,0,0,0,5,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.validation,PasswordConstraintValidator,96,0,2,0,9,0,4,0,3,0
spring-security-login-and-registration,com.baeldung.validation,UserValidator,28,0,0,0,7,0,3,0,3,0
spring-security-login-and-registration,com.baeldung.validation,PasswordMatchesValidator,13,0,0,0,4,0,3,0,3,0
spring-security-login-and-registration,com.baeldung.validation,EmailExistsException,4,0,0,0,2,0,1,0,1,0
spring-security-login-and-registration,com.baeldung.persistence.model,VerificationToken,217,0,30,0,60,0,30,0,15,0
spring-security-login-and-registration,com.baeldung.persistence.model,UserLocation,188,0,34,0,53,0,30,0,13,0
spring-security-login-and-registration,com.baeldung.persistence.model,DeviceMetadata,169,0,16,0,34,0,22,0,14,0
spring-security-login-and-registration,com.baeldung.persistence.model,User,171,0,10,0,64,0,27,0,22,0
spring-security-login-and-registration,com.baeldung.persistence.model,NewLocationToken,161,0,30,0,48,0,27,0,12,0
spring-security-login-and-registration,com.baeldung.persistence.model,Role,108,0,10,0,34,0,18,0,13,0
spring-security-login-and-registration,com.baeldung.persistence.model,Privilege,109,0,14,0,34,0,18,0,11,0
spring-security-login-and-registration,com.baeldung.persistence.model,PasswordResetToken,217,0,30,0,60,0,30,0,15,0
spring-security-login-and-registration,com.baeldung.security.google2fa,CustomAuthenticationProvider,69,0,8,0,17,0,8,0,4,0
spring-security-login-and-registration,com.baeldung.security.google2fa,CustomWebAuthenticationDetailsSource,8,0,0,0,2,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.security.google2fa,CustomWebAuthenticationDetails,12,0,0,0,4,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.security.location,DifferentLocationChecker,72,0,8,0,14,0,7,0,3,0
spring-security-login-and-registration,com.baeldung.security.location,DifferentLocationLoginListener,82,0,0,0,17,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.security.location,OnDifferentLocationLoginEvent,34,0,0,0,12,0,6,0,6,0
spring-security-login-and-registration,com.baeldung.spring,SpringTaskConfig,3,0,0,0,1,0,1,0,1,0
spring-security-login-and-registration,com.baeldung.spring,LoginNotificationConfig,16,0,0,0,4,0,3,0,3,0
spring-security-login-and-registration,com.baeldung.spring,CaptchaConfig,23,0,0,0,7,0,3,0,3,0
spring-security-login-and-registration,com.baeldung.spring,PersistenceJPAConfig,3,0,0,0,1,0,1,0,1,0
spring-security-login-and-registration,com.baeldung.spring,MvcConfig,154,0,0,0,40,0,12,0,12,0
spring-security-login-and-registration,com.baeldung.spring,SecSecurityConfig,341,0,0,0,57,0,20,0,20,0
spring-security-login-and-registration,com.baeldung.spring,ServiceConfig,3,0,0,0,1,0,1,0,1,0
spring-security-login-and-registration,com.baeldung.spring,SetupDataLoader,170,0,8,0,37,0,9,0,5,0
spring-security-login-and-registration,com.baeldung.spring,AppConfig,7,0,0,0,2,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.web.dto,UserDto,88,0,0,0,35,0,16,0,16,0
spring-security-login-and-registration,com.baeldung.web.dto,PasswordDto,24,0,0,0,10,0,7,0,7,0
spring-security-login-and-registration,com.baeldung.registration,OnRegistrationCompleteEvent,22,0,0,0,8,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.web.util,GenericResponse,64,0,2,0,23,0,9,0,8,0
spring-security-login-and-registration,com.baeldung.registration.listener,RegistrationListener,71,0,0,0,20,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.task,TokensPurgeTask,15,0,0,0,5,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.security,MyUserDetailsService,125,0,10,0,27,0,10,0,5,0
spring-security-login-and-registration,com.baeldung.security,MySimpleUrlAuthenticationSuccessHandler,192,0,24,0,56,0,21,0,9,0
spring-security-login-and-registration,com.baeldung.security,MyLogoutSuccessHandler,15,0,2,0,6,0,3,0,2,0
spring-security-login-and-registration,com.baeldung.security,CustomRememberMeServices,106,0,0,0,23,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.security,CustomAuthenticationFailureHandler,91,0,10,0,17,0,7,0,2,0
spring-security-login-and-registration,com.baeldung.security,UserSecurityService,36,0,6,0,6,0,7,0,4,0
spring-security-login-and-registration,com.baeldung.security,AuthenticationFailureListener,35,0,6,0,6,0,5,0,2,0
spring-security-login-and-registration,com.baeldung.security,MyCustomLoginAuthenticationSuccessHandler,101,0,6,0,29,0,11,0,8,0
spring-security-login-and-registration,com.baeldung.security,LoginAttemptService,66,0,4,0,19,0,6,0,4,0
spring-security-login-and-registration,com.baeldung.security,LoggedUser,52,0,2,0,18,0,7,0,6,0
spring-security-login-and-registration,com.baeldung.security,LoginAttemptService.new CacheLoader() {...},9,0,0,0,2,0,2,0,2,0
spring-security-login-and-registration,com.baeldung.security,ActiveUserStore,15,0,0,0,6,0,3,0,3,0
spring-security-login-and-registration,com.baeldung.web.error,UserNotFoundException,16,0,0,0,8,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.web.error,UserAlreadyExistException,16,0,0,0,8,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.web.error,ReCaptchaInvalidException,16,0,0,0,8,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.web.error,ReCaptchaUnavailableException,16,0,0,0,8,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.web.error,RestResponseEntityExceptionHandler,244,0,0,0,40,0,10,0,10,0
spring-security-login-and-registration,com.baeldung.web.error,InvalidOldPasswordException,16,0,0,0,8,0,4,0,4,0
spring-security-login-and-registration,com.baeldung.web.error,UnusualLocationException,9,0,0,0,4,0,2,0,2,0
